Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
876,12-04-2017,Emiza,Logistics,Third Party Logistics provider,Mumbai,Mayfield Nishant Rao Dileep Nath,Private Equity,4500000.0
877,12-04-2017,HackerEarth,Consumer Internet,Online Skill Assessment Platform,Bangalore,DHI Group Inc Prime Venture Partners Beenext Beenos Digital Garage BizReach,Private Equity,4500000.0
878,12-04-2017,Squadrun,Technology,Software-As-a-Service Platform,Noida,Blume Ventures Contrarian Capital 91springboard Emergent Ventures Abstract Ventures Anthill Ventures Axilor Ventures,Private Equity,2100000.0
882,13-04-2017,WeAreHolidays,Consumer Internet,Travel Packages & Planner marketplace,Gurgaon,Urrshila Kerkar,Private Equity,7700000.0
883,14-04-2017,Ola Cabs,Consumer Internet,Cab Aggregator App,Bangalore,SIMI Pacific Pte,Private Equity,260000000.0
884,15-04-2017,Myly,Consumer Internet,Mobile App for Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,310000.0
885,17-04-2017,CrediHealth,Consumer Internet,Online Medical Assistance platform,Gurgaon,Tolaram Inc Mountain Pine Capital,Private Equity,1500000.0
888,17-04-2017,Snackible,Food & Beverages,Healthy Snacks manufacturer,Mumbai,Nibhrant Shah Anandbir Singh Anirudh Sheth Pratik Singhi Vikram Mehta Murali Nair,Seed Funding,175000.0
889,17-04-2017,Be U Salons,Consumer Internet,Online Salon discovery & Booking Services,New Delhi,Gaurav Kachru Sundeep Singh Sahni Jatin Aneja Arun Malhotra,Seed Funding,620000.0
891,17-04-2017,LendingKart,Consumer Internet,Lending platform for small businesses,Ahmedabad,Anicut Capital,Private Equity,4650000.0
892,18-04-2017,Innefu Security Consulting,Technology,Cyber Security solutions using AI,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,2000000.0
893,18-04-2017,Whodat,Technology,Markerless AR platform,Bangalore,Ideaspring Capital,Private Equity,600000.0
894,18-04-2017,Absentia VR,Technology,Virtual Reality Startup,Bangalore,Exfinity Venture Partners,Private Equity,1250000.0
895,19-04-2017,IOTrek,Technology,IoT Platform for Bus,New Delhi,Undisclosed Investor,Seed Funding,155000.0
896,20-04-2017,HolaChef,Consumer Internet,Online Food Delivery,Mumbai,SIDBI Venture Capital Ltd Kalaari Capital,Private Equity,3000000.0
898,21-04-2017,Video Ken,Consumer Internet,Video Based Collaborative Learning,Bangalore,Ravi Garikipati Surot Chatterjee Ashish Agrawal LG Chandrasekhar Sashi Reddi,Seed Funding,1000000.0
899,24-04-2017,Faasos,Food & Beverage,QSR chain and online food delivery,Pune,Ligthbox Ventures II Lightbox Expansion Fund Sequoia Capital India RuNet South Asia RB Investments,Private Equity,6300000.0
900,24-04-2017,Oyo Rooms,Consumer Internet,Branded Budget Hotels Aggregator,Gurgaon,SoftBank Vision Fund Lightspeed Venture Partners Sequoia Capital India Advisors Greenoaks Capital Partners,Private Equity,250000000.0
901,24-04-2017,Toppr,Consumer Internet,Learning mobile app for students,Mumbai,WGG International,Private Equity,3200000.0
903,25-04-2017,The Office Pass,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,Arun Tadanki Aditya Verma,Seed Funding,245000.0
904,25-04-2017,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,Trifecta Capital,Private Equity,3100000.0
905,26-04-2017,Awfis,Consumer Internet,Collaborative co-Working Spaces,Mumbai,Sequoia India,Private Equity,20000000.0
907,26-04-2017,Flytxt,Technology,Customer data analytics software,Mumbai,DAH Beteiligungs GmbH,Private Equity,11000000.0
908,26-04-2017,Howdy Ventures,Consumer Internet,Public and Private Events creation app,Chennai,S. Xavier Britto,Seed Funding,1500000.0
909,26-04-2017,StalkBuyLove,E-commerce,Online fashion marketplace,New Delhi,Trifecta Capital,Private Equity,1000000.0
911,27-04-2017,Scootsy,Consumer Internet,On-Demand Food Delivery,Mumbai,Agnus Capital Khattar Holdings,Private Equity,3600000.0
914,27-04-2017,iNurture,Consumer Internet,Online Educational courses,Bangalore,BlackSoil Capital Pvt. Ltd,Private Equity,1500000.0
915,28-04-2017,Sepalika,Consumer Internet,Healthcare related content platform,New Delhi,Accel Partners,Seed Funding,750000.0
918,01-03-2017,Ola,Consumer Internet,App based cab aggregator,Bangalore,SoftBank Group Corp,Private Equity,330000000.0
919,01-03-2017,Belong,Consumer Internet,Online Jon Portal,Bangalore,Sequoia Capital India,Private Equity,10000000.0
922,02-03-2017,Celes Care,Consumer Internet,Women Healthcare & Information portal,Hyderabad,Ventureast Endiya Partners Eight Roads Ventures F-Prime Capital Partners,Private Equity,1500000.0
923,02-03-2017,Karomi,Technology,Packaging Artwork Management software,Chennai,Ideaspring Capital,Seed Funding,500000.0
924,02-03-2017,Red Carpet,Consumer Internet,Micro Lending platform,Gurgaon,Lightspeed Venture Partners,Private Equity,2500000.0
926,02-03-2017,CreditMantri,Consumer Internet,Online Credit score & lending platform,Chennai,Quona Capital,Private Equity,7600000.0
928,03-03-2017,Tydy,Technology,Employee Onboarding and Engagement platform,Bangalore,Bhupen Shah Jayesh Parekh Sanjay Sathe,Seed Funding,275000.0
930,03-03-2017,Oho Shop,Technology,E-commerce Mobile App Builder,Ahmedabad,Bennett Coleman and Company Ltd,Private Equity,6700000.0
932,03-03-2017,Paytm Marketplace,E-commerce,E-commerce Marketplace,Bangalore,Alibaba,Private Equity,200000000.0
933,04-03-2017,iGenetics,Healthcare,Health Diagnostic Solutions,Mumbai,CDC Group Plc,Private Equity,19500000.0
934,06-03-2017,Juno Clinic,Consumer Internet,Online Counseling Platform,Mumbai,Atul Nishar,Seed Funding,1200000.0
935,06-03-2017,Summerlabel,Consumer Internet,Fashion and Lifestyle discovery platform,Gurgaon,Aneesh Seth Tushar Mittal,Seed Funding,150000.0
936,06-03-2017,PickMe,Consumer Internet,Gadget Insurance & Repair Services platform,Mumbai,SIDBI Venture Capital Fund,Private Equity,1790000.0
937,07-03-2017,Agrostar,Technology,Direct-to-Farmer Mobile-Based Retail platform,Pune,Accel Partners,Private Equity,10000000.0
938,07-03-2017,Zapr,Technology,DSP TV Analytics & Cross-Platform advertising,Bangalore,Star India Pvt Ltd,Private Equity,10000000.0
939,07-03-2017,Data Resolve,Technology,Cyber Security Solutions,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,1000000.0
940,07-03-2017,Book Servicing,Consumer Internet,Online Vehicle Services Booking platform,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,30000.0
941,07-03-2017,Blowhorn,Consumer Internet,Intra-City Logistics provider,Bangalore,IDG Ventures India Michael & Susan Dell Foundation Draper Associates Unitus Seed Fund,Private Equity,3650000.0
942,08-03-2017,Rivigo,Logistics,Technology Enabled Logistics Company,Gurgaon,Private Sector Banks (Debt Funding),Private Equity,15000000.0
943,08-03-2017,PipeCandy,Technology,Intelligent Sales Prospecting Platform,Chennai,IDG ventures Axilor Ventures Emergent Ventures Indian Angel Network,Seed Funding,1100000.0
944,08-03-2017,Supr Daily,Consumer Internet,Subscription based Home Delivery Platform,Mumbai,Y Combinator,Seed Funding,120000.0
946,09-03-2017,AppBrowzer,Consumer Internet,Instant Mobile Apps Store,Bangalore,Deepak Gurnani,Seed Funding,500000.0
947,09-03-2017,MagicBricks,Consumer Internet,Online Real Estate Portal,Mumbai,Times Internet Ltd,Private Equity,4500000.0
948,10-03-2017,PeeBuddy,Healthcare,Female Hygiene product manufacturer,New Delhi,Indian Angel Network,Seed Funding,443000.0
950,10-03-2017,Lavelle Networks,Technology,SDN Solutions,Bangalore,Ideaspring Capital,Seed Funding,600000.0
953,15-03-2017,LatestOne,E-commerce,Tech Accessories e-tailer,Hyderabad,Florintree Mathew Cyriac Chidambaram Palaniappan Bharat Sheth,Private Equity,3350000.0
954,15-03-2017,Frapperz,Consumer Internet,On-demand home services provider,Kolkata,Undisclosed Investor,Seed Funding,100000.0
955,16-03-2017,mPaani,Consumer Internet,Loyalty rewards app,Mumbai,IDG Ventures Blume Ventures Saha Fund,Private Equity,1350000.0
957,16-03-2017,POPxo,Consumer Internet,Digital Media publication for women,New Delhi,GREE Ventures Kalaari Capital and IDG Ventures India Summit Media Atul Goel and Gurpreet Singh,Private Equity,3100000.0
958,16-03-2017,Fitso,Consumer Internet,Fitness Mobile App,Gurgaon,Sujeet Kumar Bhupender Singh Yashish Dhaiya,Seed Funding,200000.0
960,21-03-2017,Flipkart,E-commerce,E-commerce Marketplace,Bangalore,Microsoft eBay Tencent Holdings,Private Equity,1400000000.0
961,21-03-2017,Airpay,Technology,Online payment Gateway,Mumbai,Kalaari Capital Rakesh and Rajesh Jhunjhunwala,Private Equity,3670000.0
962,21-03-2017,MyGlamm,Consumer Internet,On-Demand Beauty Services,Mumbai,LOccitane,Private Equity,5300000.0
964,22-03-2017,Haqdarshak,Consumer Internet,Tech-Enabled Social Enterprise,Bangalore,Ravi Saxena Sandeep Raju,Seed Funding,191000.0
965,23-03-2017,Ixigo,Consumer Internet,Online Travel Search Engine,Gurgaon,Sequoia Capital Kinzon Capital,Private Equity,15000000.0
966,23-03-2017,Markets and Markets,Technology,Marketing Research Company,Pune,FTV Capital Zodius Capital,Private Equity,56000000.0
967,24-03-2017,Bizom,Technology,supply chain automation platform,Bangalore,Ojas Ventures,Seed Funding,382000.0
969,24-03-2017,Delhivery,Technology,Tech enabled Fulfilment & Logistics Solutions,New Delhi,Carlyle Group Tiger Global,Private Equity,100000000.0
971,28-03-2017,Fynd,E-commerce,Online fashion marketplace,Mumbai,Venture Catalysts,Private Equity,500000.0
973,28-03-2017,DoneThing,Consumer Internet,On-demand Personal Assistant service,Gurgaon,Brand Capital,Private Equity,300000.0
975,29-03-2017,Ithaka,Consumer Internet,Vacation Trip Planning platform,Mumbai,Ankit Gupta Puneet Motihar,Seed Funding,325000.0
976,29-03-2017,perpule,E-commerce,Self-Checkout E-commerce App,Bangalore,KStart Capital,Seed Funding,650000.0
978,29-03-2017,Licious,E-commerce,Online Meat Ordering platform,Bangalore,Mayfield India 3one4 Capital Sistema Asia Fund Neoplux Technology Fund,Private Equity,10000000.0
979,29-03-2017,Medinfi,Consumer Internet,Doctor & Hospital search Platform,Bangalore,Vinod Martin Hemant Kaul Prof. Ram Kumar Kakani & Others,Seed Funding,50000.0
983,31-03-2017,Jhakaas,Consumer Internet,Offline Business Aggregator App,Mumbai,Malini Patel Stelcore Management Services Anjani Prasad,Seed Funding,155000.0
984,31-03-2017,Oriano Solar,Technology,Turnkey Solar Solutions,Mumbai,Samridhi Fund,Private Equity,3000000.0
985,31-03-2017,BigBasket,E-commerce,Online Grocer,Bangalore,Trifecta Capital,Private Equity,7000000.0
988,31-03-2017,Icertis,Technology,ERP solutions provider,Pune,B Capital Group Ignition Partners Greycroft e.ventures Eight Roads Ventures,Private Equity,25000000.0
991,06-02-2017,Capital Float,Consumer Internet,Online lending platform,Bangalore,IFMR Capital Finance,Private Equity,2500000.0
993,07-02-2017,Inner Hour,Consumer Internet,Online Counselling Platform,Mumbai,Batlivala & Karani Securities Venture Works,Seed Funding,450000.0
994,07-02-2017,Travel Triangle,Consumer Internet,Online travel agent marketplace,Noida,RB Investments SAIF Partners Bessemer Venture Partners,Private Equity,10000000.0
995,08-02-2017,Wandertrails,Consumer Internet,Online Travel Adventure & Activities Portal,Bangalore,Earlsfield Capital,Seed Funding,1000000.0
996,08-02-2017,Zenatix,Technology,IoT Based Energy Monitoring & Control,Gurgaon,pi Ventures Blume Ventures,Private Equity,1200000.0
997,08-02-2017,Cartrade,Consumer Internet,Automobile Classifieds Portal,Mumbai,Temasek Holdings,Private Equity,55000000.0
999,08-02-2017,Edurev,Consumer Internet,Online Education Portal,Gurgaon,Facebook FB Start programme,Seed Funding,40000.0
1000,09-02-2017,Voonik,E-commerce,Women Apparel & Lifestyle etailer,Bangalore,RB Investments Sequoia Capital,Private Equity,6000000.0
1002,09-02-2017,Wooplr,E-commerce,Women Fashion Portal,Bangalore,Sistema Asia Fund Amereus Group Helion Ventures,Private Equity,8000000.0
1003,10-02-2017,48East,E-commerce,Online Food Delivery Platform,Bangalore,Al Dhaheri family,Private Equity,500000.0
1005,13-02-2017,Sigtuple,Technology,Medical Automation platform,Bangalore,Accel Partners IDG Ventures Endiya Partners pi Ventures VH Capital Axilor Partners,Private Equity,5800000.0
1006,13-02-2017,Flutura,Technology,Decision Sciences Analytics Solutions,Bangalore,Vertex Ventures Lumis Partners,Private Equity,7500000.0
1007,13-02-2017,Wassup,Consumer Internet,On Demand Laundry & Dry Cleaning Services,Chennai,Anil Jain & other HNIs,Private Equity,3200000.0
1008,13-02-2017,Better Mortgage,Consumer Internet,Mortgage Offering Platform,Gurgaon,Kleiner Perkins Goldman Sachs Pine Brook,Private Equity,15000000.0
1009,13-02-2017,Nurturey,Consumer Internet,Parenting Mobile App,New Delhi,Mohit Joshi & Others,Seed Funding,330000.0
1010,13-02-2017,Fyle,Technology,Expense Management Solution,Bangalore,Pravega Ventures,Seed Funding,400000.0
1011,14-02-2017,GoBumpr,Consumer Internet,Online Bike & Car Services provider,Chennai,Mahalingam K Girish Mathrubootham,Seed Funding,300000.0
1012,14-02-2017,CCAvenue,Consumer Internet,Online Payment Gateway,Mumbai,Infibeam,Private Equity,22400000.0
1015,15-02-2017,ZestMoney,Consumer Internet,Online Consumer Lending platform,Bangalore,PayU Ribbit Capital Omidyar Network,Private Equity,6500000.0
1016,15-02-2017,AirZaar,Technology,Drone operations management platform,Missourie,Quake Capital,Seed Funding,350000.0
1017,16-02-2017,Truebil,Consumer Internet,Online Marketplace for Used Cars,Mumbai,Shunwei Capital,Private Equity,3000000.0
1018,16-02-2017,YourStory,Consumer Internet,Online Media,Bangalore,Kalaari Capital Partners Qualcomm 3ONE4 Capital Advisors UC-RNT,Private Equity,3000000.0
1019,17-02-2017,Imaginate,Technology,AR & VR platform,Hyderabad,SRI Capital,Seed Funding,500000.0
1020,17-02-2017,The Ken,Consumer Internet,Online Media Platform,Bangalore,Aprameya Radhakrishna Deepak Natraj Girish Mathrubootham Mahesh Murthy Pallav Nadhani Pavan Ongole Sandeep Mathur Vijay Shekhar Sharma & Others,Seed Funding,400000.0
1021,17-02-2017,Urban Ladder,E-commerce,Online Furniture Store,Bangalore,Kalaari Capital SAIF Partners Steadview Capital Sequoia Capital,Private Equity,15200000.0
1024,17-02-2017,Leopetra,E-commerce,Solution provider for pet needs,Mumbai,Facebook FBStart,Seed Funding,40000.0
1025,18-02-2017,Blood n Care,Consumer Internet,First Aid care app,Gurgaon,Facebook FBStart,Seed Funding,40000.0
1026,20-02-2017,Flipkart,E-commerce,Online Marketplace,Bangalore,Bennett Coleman and Co. Ltd (BCCL),Private Equity,38700000.0
1027,21-02-2017,True Balance,Consumer Internet,Mobile balance Checking App,Gurgaon,Softbank Ventures Korea IMM Investment,Private Equity,15000000.0
1028,22-02-2017,Vebbler,Consumer Internet,Photo Sharing for Groups,Bangalore,Facebook FBStart,Seed Funding,40000.0
1029,23-02-2017,Get My Parking,Consumer Internet,Smart Parking Platform,New Delhi,Indian Angel Network (IAN) BEENEXT The Chennai Angels Sunil Munjal,Private Equity,1100000.0
1033,27-02-2017,Biryani By Kilo,Consumer Internet,Online Food Ordering & Delivery Portal,Gurgaon,Chandigarh Angels Ashish Gupta Rohit Ashish Chand Sunil Singh & Others,Seed Funding,375000.0
1034,27-02-2017,Johari Shop,E-commerce,Online Jewellery etailer,Bangalore,Undisclosed Investors,Seed Funding,94000.0
1035,28-02-2017,NeoStencil,Consumer Internet,Live Online Coaching Classes,New Delhi,Brand Capital Paragon Trust,Private Equity,1000000.0
1036,28-02-2017,Blackbuck,Logistics,Online freight aggregator,Bangalore,Sands Capital IFC Accel Partners Flipkart Sanjiv Rangrass,Private Equity,70000000.0
1037,02-01-2017,TaxSutra,Consumer Internet,Online Tax Filing platform,Pune,TV Mohandas Pai V Balakrishnan PV Srinivasan,Seed Funding,366000.0
1038,03-01-2017,TempoGo,Technology,IoT & SAAS Solutions for Transportation Industry,Panaji,K2 Capital,Seed Funding,825000.0
1044,06-01-2017,Leap India,Logistics,Supply Chain Solutions Provider,Mumbai,India Nivesh Growth Fund Sixth Sense TCI Ventures,Private Equity,13000000.0
1045,07-01-2017,FreeCharge,Consumer Internet,Mobile Wallet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,57000000.0
1046,09-01-2017,TicketNew,Consumer Internet,Movie Ticket Booking platform,Chennai,Alibaba Pictures,Private Equity,35000000.0
1047,10-01-2017,Intelligence Node,Technology,SAAS Based Retail Analytics Solutions,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,800000.0
1048,10-01-2017,Securens,Technology,e-surveillance services provider,Mumbai,Mayfield India Trifecta Capital,Private Equity,5000000.0
1049,10-01-2017,Loan Frame,Consumer Internet,Small Business Loans Marketplace platform,Gurgaon,Vedanta Capital William Campbell Toos N Daruvala,Private Equity,2250000.0
1051,10-01-2017,Medinfi,Consumer Internet,Doctor & Clinic Discovery portal,Bangalore,Vinod Martin Evan Lim Kanchan Ghoshal Ram Kumar Kakani,Seed Funding,100000.0
1052,10-01-2017,LensKart,E-commerce,Online eyewear retailer,Bangalore,Ronnie Screwvala,Private Equity,3500000.0
1054,12-01-2017,Hansel.io,Consumer Internet,Real-time Mobile App Management Platform,Bangalore,IDG Ventures Endiya Partners,Private Equity,1350000.0
1055,12-01-2017,Square Yards,Consumer Internet,Property Search Aggregator platform,Gurgaon,Lohia Group Andre Hoffman,Private Equity,10000000.0
